SYMBOL_SERIES,SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
APRAMEYA.ST,APRAMEYA,Aprameya Engineering Limited,ST,01-Aug-24,10,INE0LQG01010,10,
MIEL.ST,MIEL,Manglam Infra & Engineering Limited,ST,31-Jul-24,10,INE0R3101011,10,
CHETANA.SM,CHETANA,Chetana Education Limited,SM,31-Jul-24,10,INE0U1T01012,10,
VLINFRA.ST,VLINFRA,V.L.Infraprojects Limited,ST,30-Jul-24,10,INE0QXL01015,10,
RNFI.ST,RNFI,RNFI Services Limited,ST,29-Jul-24,10,INE0SA001017,10,
MACOBSTECH.SM,MACOBSTECH,Macobs Technologies Limited,SM,24-Jul-24,10,INE0R0J01010,10,
KATARIA.ST,KATARIA,Kataria Industries Limited,ST,24-Jul-24,10,INE0SVY01018,10,
TUNWAL.SM,TUNWAL,Tunwal E-Motors Limited,SM,23-Jul-24,2,INE0OXV01027,2,
SATIPOLY.SM,SATIPOLY,Sati Poly Plast Limited,SM,22-Jul-24,10,INE0RPM01017,10,
PRIZOR.ST,PRIZOR,Prizor Viztech Limited,ST,22-Jul-24,10,INE0V9N01017,10,
SAHAJSOLAR.SM,SAHAJSOLAR,Sahaj Solar Limited,SM,19-Jul-24,10,INE0P4701011,10,
GGBL.SM,GGBL,Ganesh Green Bharat Limited,SM,12-Jul-24,10,INE0R8C01018,10,
EFFWA.ST,EFFWA,Effwa Infra & Research Limited,ST,12-Jul-24,10,INE0U9101019,10,
AMBEY.SM,AMBEY,Ambey Laboratories Limited,SM,11-Jul-24,10,INE0M3I01029,10,
NEPHROCARE.SM,NEPHROCARE,Nephro Care India Limited,SM,05-Jul-24,10,INE0SUN01013,10,
DTL.SM,DTL,Diensten Tech Limited,SM,03-Jul-24,10,INE0JRD01019,10,
PCCL.SM,PCCL,Petro Carbon and Chemicals Limited,SM,02-Jul-24,10,INE998U01015,10,
DPEL.ST,DPEL,Divine Power Energy Limited,ST,02-Jul-24,10,INE0SCO01019,10,
AKIKO.SM,AKIKO,Akiko Global Services Limited,SM,02-Jul-24,10,INE0PMR01017,10,
VISAMAN.SM,VISAMAN,Visaman Global Sales Limited,SM,01-Jul-24,10,INE0BHK01012,10,
SYLVANPLY.SM,SYLVANPLY,Sylvan Plyboard (India) Limited,SM,01-Jul-24,10,INE01IH01015,10,
SPCL.ST,SPCL,Shivalic Power Control Limited,ST,01-Jul-24,10,INE0T7B01010,10,
MASON.ST,MASON,Mason Infratech Limited,ST,01-Jul-24,10,INE0SH001010,10,
MEDIORG.ST,MEDIORG,Medicamen Organics Limited,ST,28-Jun-24,10,INE0PE401018,10,
WINNY.ST,WINNY,Winny Immigration & Education Services Limited,ST,27-Jun-24,10,INE0S9101013,10,
FALCONTECH.SM,FALCONTECH,Falcon Technoprojects India Limited,SM,26-Jun-24,10,INE0PQK01013,10,
DURLAX.SM,DURLAX,Durlax Top Surface Limited,SM,26-Jun-24,10,INE0OUW01013,10,
GPECO.ST,GPECO,GP Eco Solutions India Limited,ST,24-Jun-24,10,INE0S7E01015,10,
TBI.SM,TBI,TBI Corn Limited,SM,07-Jun-24,10,INE0N2D01013,10,
