tv-symbol;isin;description
A1CU83;LU0496367417;Franklin Gold & Prec. Metals A acc $
934224;LU0109981661;Franklin Mut European A acc $
785349;LU0128530259;Franklin Mut European N acc $
A0KECM;LU0260862726;Franklin Mut Glo Discov A Ydis €
986459;LU0070302665;Franklin Mut US Value A acc. $
A0KEDE;LU0260870158;Franklin Technology A acc €
A0KECF;LU0260861751;Franklin US Opportunities A Ydis €
A1W17W;LU0952573136;FvS Der erste Schritt R
A1J4RH;LU0831568729;FvS Dividend R
A1XBPF;LU1012015118;FvS Global Emerging Markets Equities R
A1XEQ4;LU1038809395;FvS Multiple Opportunities II RT
A0M430;LU0323578657;FvS SICAV Multiple Opportunities R
972996;LU0047906267;GAF Emerging Markets High Value A
972580;LU0044747169;GAF Major Markets High Value A
A2P2FA;LI0507461338;GF Global Cannabis Opportunity €
A2PT6U;AT0000A2B4T3;GLOBALPORTFOLIOONE RT
A1W2CK;DE000A1W2CK8;GLS BANK AKTIENFONDS A
980700;DE0009807008;GRUNDBESITZ EUROPA RC
980708;DE0009807081;grundbesitz Fokus Deutschland RC
980705;DE0009807057;grundbesitz global RC
A0D9KW;LU0216092006;GS&P Fonds Deutsche Aktien Total Ret I
987063;LU0077884368;GS&P Fonds Schwellenländer R
A3CY8Q;DE000A3CY8Q9;HAAS INVEST4 INNOVATION S
A3D1ZP;DE000A3D1ZP1;HARD VALUE FUND R DIS.
980701;DE0009807016;hausInvest
981772;DE0009817726;HI TOPSELECT D
979076;DE0009790766;HP&P Euro Select UI A
A0J3PB;LU0254981946;HSBC GIF BRIC Markets Equity AC
972629;LU0039217434;HSBC GIF Chinese Equity AD
257158;LU0164906959;HSBC GIF Europe Value AC
260621;LU0149719808;HSBC GIF Europe Value AD
974873;LU0066902890;HSBC GIF Indian Equity AD
A0LFYM;LU0277940762;HWB Portfolio Plus R
A0LFYL;LU0277941570;HWB Victoria Strategies Portfolio R
847502;DE0008475021;Industria A €
658697;LU0123357419;Invesco Energy Transition A $ acc
973093;AT0000857768;IQAM ShortTerm EUR RA
A0DLKB;LU0201071890;JH Continental European A2 €
A0DNE8;LU0201075453;JH Pan European A2 €
989232;LU0088927925;JHH Pan European Property Eq A2 €
989229;LU0046217351;JHH Pan European Smaller Comp A2 €
973778;LU0051755006;JPM China A dist $
971604;LU0089640097;JPM Euroland Equity A dist €
602967;LU0119078227;JPM Europe Equity A acc $
933913;LU0107398884;JPM Europe Strategic Value A dist €
577341;LU0117841782;JPM Greater China A dist $
989946;LU0095938881;JPM IF Glo Macro Opportunities A acc €
974541;LU0058908533;JPM India A dist $
A0HGJR;LU0225506756;JPM Russia A acc $
971759;LU0053671581;JPM US Small Cap Growth A dist $
971611;LU0053697206;JPM US Smaller Companies A dist $
A0J317;LU0260085492;Jupiter European Growth L € Acc
679180;DE0006791809;KanAm grundinvest Fonds i.L.
847625;DE0008476250;Kapital Plus A €
978022;DE0009780221;LBBW Aktien Europa
A0NAUM;DE000A0NAUM4;LBBW Dividenden Strategie Euroland I
A0NAUN;DE000A0NAUN2;LBBW Dividenden Strategie Euroland IT
978041;DE0009780411;LBBW Dividenden Strategie Euroland R
A0KEYR;DE000A0KEYR3;LBBW Dividenden Strategie Sm & MidCaps I
A0KEYM;DE000A0KEYM4;LBBW Global Warming R
A0NAUP;DE000A0NAUP7;LBBW Nachhaltigkeit Aktien R
679182;DE0006791825;LEADING CITIES INVEST
A0MKQK;DE000A0MKQK7;LF Sys ETF Portfolio Global
976320;DE0009763201;LF Sys European Equities R
986275;LU0069514817;LiLux Convert
532009;DE0005320097;Lingohr Europa Systematik INVEST
977479;DE0009774794;Lingohr Systematic INVEST
A0M99W;LU0329425713;Lupus alpha All Opportunities C
974564;LU0129233093;Lupus alpha Sm. German Champions A
A0RAJN;LU0390221256;MainFirst Germany A
A1KCCM;LU0864709349;MainFirst Global Equities A
A0MVL0;LU0308864023;MainFirst Top European Ideas A
A0F69B;LU0228344361;Medical BioHealth € H
848398;DE0008483983;Merck Finck Stiftungsfonds UI
975222;DE0009752220;Metzler European Equities Sust AR
987736;IE0002921868;Metzler European Growth Sust A
987735;IE0002921975;Metzler European Smaller Comp Sust A
975223;DE0009752238;Metzler German Sm Comp Sust AR
989439;IE0003723560;Metzler Global Equities Sust A
975225;DE0009752253;Metzler Global Growth Sust
989620;LU0094557526;MFS Meridian European Research A1 €
989632;LU0094560744;MFS Meridian Global Equity A1 €
A0Q8T6;LU0384381660;Morgan St. Global Infrastruc. USD A
986729;LU0073232471;Morgan St. US Growth A $
570769;LU0147784119;Nestor Australien B
972880;LU0054738967;Nestor Fernost B
930905;LU0108457267;Nestor Osteuropa B
A0LG6V;LU0250172185;NN (L) Glo Real Estate P Cap €
848407;DE0008484072;Nomura Asia Pacific
979217;DE0009792176;NORDASIA.COM
986135;LU0076315455;Nordea-1 European Covered Bond BP €
973346;LU0064675639;Nordea-1 Nordic Equity BP €
358491;LU0173784223;Nordea-1 Norwegian Equity BP EUR
A0HF3W;LU0227384020;Nordea-1 Stable Return BP €
977298;DE0009772988;ODDO BHF Algo Global CRW €
847805;DE0008478058;ODDO BHF Frankfurt-Effekten-Fonds DR-EUR
A0M003;LU0319572730;ODDO BHF Polaris Flexible DRW-€
A1J0HV;LU0800346016;ÖkoWorld Growing Markets 2.0 C
A0MX8G;LU0301152442;ÖkoWorld Klima C
974968;LU0061928585;ÖkoWorld ÖkoVision Classic C
A0Q8NL;LU0380798750;ÖkoWorld Rock 'n' Roll Fonds C
A0NBKM;LU0332822492;ÖkoWorld Water for Life C
HAFX6R;LU0967739193;Patriarch Classic Dividende 4 Plus A
988006;LU0086120648;PEH Empire P
A1J3AM;DE000A1J3AM3;PI Vermögensbildungsfonds AMI P a
988562;LU0090689299;Pictet Biotech P $
A0RLJD;LU0386882277;Pictet Global Megatrend Selection P €
A0X8JZ;LU0386885296;Pictet Global Megatrend Selection P dy €
935667;LU0070964530;Pictet Indian Equities P $
921205;LU0095053426;Pictet Japanese Eq Opportunities P ¥
A0ET47;LU0217139020;Pictet Premium Brands P €
933349;LU0104884860;Pictet Water P €
A1W0ND;LU0944781540;PRIMA Kapitalaufbau Total Return A
A14VGZ;LI0274481113;Quantex Global Value € R
531696;DE0005316962;R+P Universal
591730;AT0000745856;Raiffeisen-Eurasien-Aktien A
926452;AT0000996681;Raiffeisen-Euro-Rent R A
534049;AT0000785225;Raiffeisen-Nachh-Europa-Aktien VT
971129;AT0000859509;Raiffeisen-Nachhaltigkeit-Rent R A
973205;AT0000936513;Raiffeisen-Osteuropa-Aktien A
622904;AT0000785241;Raiffeisen-Osteuropa-Aktien VT
257546;LU0165251116;RB LuxTopic Aktien Europa A
988149;LU0084617165;Robeco Asia-Pacific Equities D €
A0F61P;LU0226953718;Robeco BP US Premium Equities D $
A0CA0W;LU0187079347;Robeco Global Consumer Trends D €
976330;DE0009763300;RWS Aktienfonds
531712;DE0005317127;Sarasin-FairInvest-Universal I
214466;LU0163675910;Sauren Global Defensiv A
989614;LU0095335757;Sauren Global Growth A
930921;LU0106280919;Sauren Global Opportunities
791695;LU0136335097;Sauren Global Stable Growth A
A0MZ0U;LU0318492419;Sauren Global Stable Growth D
974145;AT0000913942;Schoellerbank Aktienfonds Value A
542164;LU0118405827;SEB Concept Biotechnology D €
989941;LU0099984899;SEB European Equity Small Caps C €
756512;LU0122113094;SEB Fund 1 Global Chance/Risk Fund C €
980230;DE0009802306;SEB ImmoInvest P i.L.
A0B9Z3;LU0086828794;SEB SICAV 2 Eastern Europe Sm.MC C €
974743;LU0030165871;SEB Sustainability Nordic Fund C
A0KEXM;DE000A0KEXM6;SIEMENS BALANCED
977265;DE0009772657;Siemens Global Growth A
974935;LU0057074394;SISF European Smaller Comp. € B dis
A0JJZV;LU0246035637;SISF European Special Situat. A acc
A0MSUS;LU0302446645;SISF Glo Climate Change € A acc
A2AQ95;DE000A2AQ952;SOLIT Wertefonds R
A0Q32Q;LU0362355355;Sparinvest Ethical Global Value € R
A0DQN4;LU0138501191;Sparinvest Global Value € R
805785;LU0137341789;StarCapital Dynamic Bonds - A-€
A0BKZD;GB0033873919;Stewart Glo EM Leaders A acc £
A1CXWP;LU0506868503;Stuttgarter Dividendenfonds
A0Q72H;LU0383026803;Stuttgarter-Aktien-Fonds
978199;DE0009781997;TBF Global Income € I
A0RHHC;DE000A0RHHC8;TBF Smart Power € R
785343;LU0128522157;Templeton Asian Growth A acc $
971661;LU0029875118;Templeton Asian Growth A Ydis $
973909;LU0052750758;Templeton China A acc $
987144;LU0078277505;Templeton Eastern Europe A acc €
602312;LU0122613903;Templeton Eastern Europe N acc €
602744;LU0122612848;Templeton European Opport. A acc €
A0RAK3;LU0390137031;Templeton Frontier Markets A acc €
971655;LU0029873410;Templeton Glo Climate Change A Ydis €
749655;LU0152980495;Templeton Global Bond A acc €
937452;LU0109401686;Templeton Global Fund N acc $
941034;LU0114760746;Templeton Growth (Euro) A acc €
941035;LU0114763096;Templeton Growth (Euro) I acc €
971660;LU0029865408;Templeton Latin America A Ydis $
A2H7N2;DE000A2H7N24;The Digital Leaders Fund R
A2JR84;LU1864952335;Threadneedle (L) European SC 1E € acc
A1JJHG;LU0570870567;Threadneedle (L) Global SC AE € acc
975165;DE0009751651;UBS (D) EF - Smaller German Companies
988083;LU0085953304;UBS (L) EF Health Care $ P-acc
972309;LU0038842364;UBS (L) EF Small Caps USA $ P-acc
975787;DE0009757872;Uni21.Jahrhundert -net-
971267;LU0037079034;UniAsia
921590;LU0100938306;UniAsiaPacific -net- A
A0JJ57;LU0249045476;UniCommodities
975049;DE0009750497;UniDeutschland XS
A0B821;LU0186860663;UniDividendenAss -net- A
989807;LU0096427066;UniDynamicFonds: Europa -net- A
987194;LU0085167236;UniDynamicFonds: Europa A
988255;LU0089558679;UniDynamicFonds: Global A
502347;LU0115904467;UniEM Global
975774;DE0009757740;UniEuroAktien
972121;LU0047060487;UniEuropa
975023;DE0009750232;UniEuropa -net-
988567;LU0090772608;UniEuropa Mid&SmallCaps
849106;DE0008491069;UNIEURORENTA
847707;DE0008477076;UniFavorit: Aktien
849100;DE0008491002;UniFonds
975020;DE0009750208;UniFonds -net-
849105;DE0008491051;UniGlobal
975027;DE0009750273;UniGlobal -net-
A1JQ13;LU0718610743;UniGlobal II A
980550;DE0009805507;UNIIMMO: DEUTSCHLAND
980551;DE0009805515;UNIIMMO: EUROPA
980555;DE0009805556;UNIIMMO: GLOBAL
A2JDXZ;LU1772413420;UniIndustrie 4.0 A
988475;LU0090707612;UniNachhaltig Aktien Europa A
975007;DE0009750075;UniNordamerika
849104;DE0008491044;UNIRAK
989805;LU0097169550;UniRenta Osteuropa A
A0JEL6;LU0247467987;UniReserve: Euro-Corporates
921556;LU0101441086;UniSector BioPharma A
921559;LU0101441672;UniSector HighTech A
532678;DE0005326789;UniSelection: Global I
531444;DE0005314447;UniStrategie: Offensiv
631011;LU0126316180;UniValueFonds: Global -net- A
631010;LU0126315885;UniValueFonds: Global A
A0BL7N;LU0184391075;VCH Expert Natural Resources B
798387;LU0117772284;Vitruvius Japanese Equity B €
987184;LU0084408755;Vontobel Asia Pacific Equity B $
A0RCVW;LU0384405600;Vontobel Clean Technology B €
972722;LU0040507039;Vontobel Emerging Markets Equity B $
724771;LU0153585137;Vontobel European Equity B €
A0EQVB;LU0218910023;Vontobel Glo. Equity A $
972046;LU0035765741;Vontobel US Equity B $
532633;DE0005326334;W&W Dachfonds GlobalPlus
A0DN29;LU0208289198;Warburg Value Fund A
A1CUAY;DE000A1CUAY0;WERTGRUND WohnSelect D
980142;DE0009801423;WESTINVEST INTERSELECT
979075;DE0009790758;WM Aktien Global UI B
A142FS;AT0000A1GYH0;WSS WERTPAP.-U.OPT.STR. T
A0JNG3;AT0000497227;WSS-EUROPA
A0JNG2;AT0000497235;WSS-INTERNATIONAL
LS8VSD;DE000LS8VSD9;Value-Stars-Deutschland-Index
LX4MMY;DE000LX4MMY9;US Equity Quant 1 – Index
LS1PEX;DE000LS1PEX4;Promont-European-Opportunity-Index
LS8HKR;DE000LS8HKR5;Mittelstand Dynamik Anleihen-Index
LS3A1Y;DE000LS3A1Y8;German 30 Strategie ON-Index
LS5NT4;DE000LS5NT43;A.Horst Invest & Trade Index
