cik,symbol
793524,NASDAQ:REFR
793628,NASDAQ:CHNR
793733,NASDAQ:SKYW
793952,NYSE:HOG
794170,NYSE:TOL
794367,NYSE:M
794619,NASDAQ:AMWD
794685,NYSE:GAB
795266,NYSE:KBH
795403,NYSE:WTS
795800,TSXV:PNRL
796343,NASDAQ:ADBE
796505,NASDAQ:CLFD
796534,NASDAQ:NKSH
797465,OTC:STLY
797468,NYSE:OXY
797542,OTC:VBIX
797564,OTC:HSTC
797721,NASDAQ:VSAT
798081,NASDAQ:LAKE
798287,NASDAQ:PTSI
798354,NYSE:FI
798359,NYSE:CSR
798528,NASDAQ:OMEX
798783,NYSE:UHT
798941,NASDAQ:FCNCA
798949,OTC:UNTC
799165,NASDAQ:DWSN
799167,NASDAQ:MRTN
799195,NYSE:USA
799233,NASDAQ:HTLD
799288,NASDAQ:LE
799292,NYSE:MHO
799698,OTC:LADX
799850,NASDAQ:CRMT
800240,NASDAQ:ODP
800365,TSE:4901
800457,NASDAQ:DGICA
800954,TSE:6645
801337,NYSE:WBS
801961,NYSE:MFM
802257,OTC:MITI
802481,NASDAQ:PPC
803016,OTC:CFNB
803097,OTC:SPQS
803164,NASDAQ:COFS
803578,NASDAQ:AIFF
803649,NYSE:EQC
804116,NYSE:RVT
804123,NYSE:TWN
804328,NASDAQ:QCOM
804563,OTC:BMBN
805267,NYSE:HQH
805928,NASDAQ:AXGN
806172,NASDAQ:SOTK
806517,NASDAQ:PMD
806628,NYSE:DNP
806968,LSE:WPP
807707,NASDAQ:VOXX
807863,NASDAQ:MITK
807882,NASDAQ:JACK
808219,OTC:MHGU
808326,NASDAQ:EMKR
808439,NASDAQ:TATT
809173,NYSE:MMT
809559,NYSE:TSI
809708,NYSE:EMF
809844,NYSE:CMU
810136,NASDAQ:PLAB
810332,NASDAQ:MESA
810509,OTC:NAVB
810943,NYSE:PCF
810958,NASDAQ:CZNC
811156,NYSE:CMS
811211,OTC:UNIB
811212,OTC:THMO
811222,OTC:CDIX
811240,OTC:BIOL
811522,TSXV:QZM
811589,NASDAQ:FBNC
811596,NASDAQ:KALU
811641,NASDAQ:ICCC
811809,ASX:BHP
811922,NYSE:MGF
812011,NYSE:MTN
812074,NYSE:OI
812152,OTC:RDGA
812306,OTC:PCYN
812796,NASDAQ:SNGX
812801,NYSE:NUV
813298,NASDAQ:DXLG
813623,NYSE:SWZ
813672,NASDAQ:CDNS
813716,OTC:CIRX
813762,NASDAQ:IEP
813828,NASDAQ:PARA
814052,BME:TEF
814453,NASDAQ:NWL
814547,NYSE:FICO
814549,OTC:EBIXQ
814585,NYSE:MBI
814586,NASDAQ:LWAY
814676,NASDAQ:CPSH
814926,OTC:CAPC
815097,NYSE:CCL
815556,NASDAQ:FAST
815577,OTC:MPIR
816761,NYSE:TDC
816956,NYSE:CNMD
817720,NASDAQ:SYNA
818033,NASDAQ:HRTX
818479,NASDAQ:XRAY
818677,OTC:SFDL
818686,TASE:TEVA
818850,NYSE:NNY
818851,NYSE:NCA
818972,NYSE:LEO
819050,OTC:FRTX
819793,NYSE:AIN
820027,NYSE:AMP
820313,NYSE:APH
820318,NYSE:COHR
820608,OTC:QTXB
820771,OTC:GFMH
821002,NASDAQ:GIII
821026,NASDAQ:ANDE
821130,NYSE:USM
821189,NYSE:EOG
821483,NYSE:PARR
822370,OTC:EMMA
822411,OTC:IMUC
822416,NYSE:PHM
822663,NASDAQ:IPAR
822746,OTC:AMNI
822818,NYSE:CLH
823277,NASDAQ:CHSCP
823546,OTC:RKFL
823768,NYSE:WM
824142,NASDAQ:AAON
824410,NASDAQ:SASR
824416,OTC:QPRC
825171,CSE:JJJ
825202,NASDAQ:FUND
825313,NYSE:AB
825322,OTC:XDSL
825324,NASDAQ:GTIM
825345,NYSE:HYB
825542,NYSE:SMG
826020,NYSE:BRW
826154,NASDAQ:ORRF
826253,OTC:AUSI
826675,NYSE:DX
826735,NYSE:MIN
827052,NYSE:EIX
827054,NASDAQ:MCHP
827099,OTC:CPWR
827187,NASDAQ:SNBR
827773,NYSE:PPT
827871,NASDAQ:EGRX
827876,NASDAQ:CLSK
828146,NASDAQ:LINK
828803,NYSE:SABA
828944,NASDAQ:WSFS
829224,NASDAQ:SBUX
829325,OTC:SPYR
829365,OTC:NTPIF
830271,NYSE:NMI
830487,NYSE:MHF
830616,OTC:SCIA
830622,NYSE:PIM
830656,OTC:PBIO
831001,NYSE:C
831259,NYSE:FCX
831378,OTC:LVPA
831489,OTC:SCRH
831609,CSE:CXXI
831641,NASDAQ:TTEK
831655,NYSE:MPV
832101,NYSE:IEX
832327,NYSE:BKT
832370,OTC:EAXR
832428,NASDAQ:SSP
832480,OTC:UTGN
832489,NASDAQ:GOVX
832988,NYSE:SIG
