"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"ARD","ARGENT MINERALS LIMITED","Materials","03/04/2008",27467169
"ARF","ARENA REIT.","Equity Real Estate Investment Trusts (REITs)","13/06/2013",1390871274
"ARG","ARGO INVESTMENTS LIMITED","Not Applic","31/03/1963",6426620858
"ARI","ARIKA RESOURCES LIMITED","Materials","21/12/2005",11403155
"ARL","ARDEA RESOURCES LIMITED","Materials","09/02/2017",75879508
"ARN","ALDORO RESOURCES LIMITED","Materials","13/09/2018",59433082
"ARR","AMERICAN RARE EARTHS LIMITED","Materials","17/02/2011",126855825
"ART","AIRTASKER LIMITED","Media & Entertainment","23/03/2021",124883037
"ARU","ARAFURA RARE EARTHS LTD","Materials","05/11/2003",381970947
"ARV","ARTEMIS RESOURCES LIMITED","Materials","16/03/2007",20228234
"ARX","AROA BIOSURGERY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/07/2020",132786599
"AS1","ASARA RESOURCES LIMITED","Materials","13/08/1987",51755359
"AS2","ASKARI METALS LIMITED","Materials","07/07/2021",2498706
"ASB","AUSTAL LIMITED","Capital Goods","08/12/1998",1844768593
"ASE","ASTUTE METALS NL","Materials","14/08/1986",16424403
"ASG","AUTOSPORTS GROUP LIMITED.","Consumer Discretionary Distribution & Retail","09/04/2016",355276551
"ASH","ASHLEY SERVICES GROUP LIMITED","Commercial & Professional Services","21/08/2014",23036145
"ASK","ABACUS STORAGE KING","Equity Real Estate Investment Trusts (REITs)","01/08/2023",1826603117
"ASL","ANDEAN SILVER LIMITED","Materials","30/09/2021",150041198
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","Materials","30/07/2020",65282646
"ASN","ANSON RESOURCES LIMITED","Materials","08/07/2010",84590929
"ASO","ASTON MINERALS LIMITED","Materials","04/03/2011",18130900
"ASP","ASPERMONT LIMITED.","Media & Entertainment","27/04/2000",9880046
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","Materials","22/10/2007",5073487
"ASR","ASRA MINERALS LIMITED","Materials","30/06/1986",7119380
"ASV","ASSET VISION CO LTD","Commercial & Professional Services","02/12/2013",22920209
"ASX","ASX LIMITED","Financial Services","14/10/1998",12569229803
"AT1","ATOMO DIAGNOSTICS LIMITED","Health Care Equipment & Services","16/04/2020",12144844
"ATA","ATTURRA LIMITED","Software & Services","22/12/2021",280526037
"ATC","ALTECH BATTERIES LTD","Materials","27/01/2010",80108936
"ATG","ARTICORE GROUP LIMITED","Consumer Discretionary Distribution & Retail","16/05/2016",41307145
"ATH","ALTERITY THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","28/03/2000",63891595
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","Materials","09/08/1999",4783419311
"ATP","ATLAS PEARLS LTD","Consumer Durables & Apparel","31/12/1993",54880323
"ATR","ASTRON CORPORATION LIMITED","Materials","11/11/1983",96042203
"ATS","AUSTRALIS OIL & GAS LIMITED","Energy","25/07/2016",11704559
"ATV","ACTIVEPORT GROUP LTD","Software & Services","20/10/2021",8219725
"ATX","AMPLIA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","23/12/2013",20949444
"AU1","THE AGENCY GROUP AUSTRALIA LTD","Real Estate Management & Development","18/12/2007",8791532
"AUA","AUDEARA LIMITED","Consumer Durables & Apparel","18/05/2021",5577966
"AUB","AUB GROUP LIMITED","Insurance","16/11/2005",3404353073
"AUC","AUSGOLD LIMITED","Materials","16/12/2009",178474068
"AUE","AURUM RESOURCES LIMITED","Materials","02/11/2021",72963535
"AUG","AUGUSTUS MINERALS LIMITED","Materials","25/05/2023",5268339
"AUH","AUSTCHINA HOLDINGS LIMITED","Energy","17/03/2003",2750384
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","Not Applic","01/01/1974",1228526840
"AUK","AUMAKE LIMITED.","Consumer Discretionary Distribution & Retail","07/12/2011",10537423
"AUN","AURUMIN LIMITED","Materials","09/12/2020",27184308
"AUQ","ALARA RESOURCES LIMITED","Materials","24/05/2007",16516013
"AUR","AURIS MINERALS LIMITED","Materials","15/03/2001",2383130
"AUZ","AUSTRALIAN MINES LIMITED","Materials","28/09/2001",10488841
"AV1","ADVERITAS LIMITED","Software & Services","18/12/2012",61870701
"AVA","AVA RISK GROUP LIMITED","Technology Hardware & Equipment","11/05/2015",25561538
"AVC","AUCTUS INVESTMENT GROUP LIMITED","Financial Services","10/08/2011",44956977
"AVD","AVADA GROUP LIMITED","Commercial & Professional Services","17/12/2021",28028558
"AVE","AVECHO BIOTECHNOLOGY LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/08/1993",15846485
"AVG","AUSTRALIAN VINTAGE LTD","Food, Beverage & Tobacco","26/03/1992",36240922
"AVH","AVITA MEDICAL INC.","Pharmaceuticals, Biotechnology & Life Sciences","24/06/2020",339685355
"AVJ","AVJENNINGS LIMITED","Consumer Durables & Apparel","27/01/1994",354501994
"AVL","AUSTRALIAN VANADIUM LIMITED","Materials","21/02/2007",94981239
"AVM","ADVANCE METALS LIMITED","Materials","20/12/2007",7705254
