"currency-id","typespecs"
"XTVCGO","${symbolinfo.typespecs},defi"
"XTVCGOOGLX","${symbolinfo.typespecs},defi"
"XTVCGOVI","${symbolinfo.typespecs},defi"
"XTVCGQ","${symbolinfo.typespecs},defi"
"XTVCGRAIL","${symbolinfo.typespecs},defi"
"XTVCGRAPH","${symbolinfo.typespecs},defi"
"XTVCGRG","${symbolinfo.typespecs},defi"
"XTVCGSWAP","${symbolinfo.typespecs},defi"
"XTVCGXC","${symbolinfo.typespecs},defi"
"XTVCGXT","${symbolinfo.typespecs},defi"
"XTVCH1","${symbolinfo.typespecs},defi"
"XTVCHAEDAL","${symbolinfo.typespecs},defi"
"XTVCHAI","${symbolinfo.typespecs},defi"
"XTVCHAKKA","${symbolinfo.typespecs},defi"
"XTVCHAPI","${symbolinfo.typespecs},defi"
"XTVCHARD","${symbolinfo.typespecs},defi"
"XTVCHASUI","${symbolinfo.typespecs},defi"
"XTVCHAWK","${symbolinfo.typespecs},defi"
"XTVCHBB","${symbolinfo.typespecs},defi"
"XTVCHDN","${symbolinfo.typespecs},defi"
"XTVCHDRO","${symbolinfo.typespecs},defi"
"XTVCHEC","${symbolinfo.typespecs},defi"
"XTVCHEDGE","${symbolinfo.typespecs},defi"
"XTVCHEGIC","${symbolinfo.typespecs},defi"
"XTVCHEI","${symbolinfo.typespecs},defi"
"XTVCHELMET","${symbolinfo.typespecs},defi"
"XTVCHERE","${symbolinfo.typespecs},defi"
"XTVCHEZ","${symbolinfo.typespecs},defi"
"XTVCHFT","${symbolinfo.typespecs},defi"
"XTVCHGET","${symbolinfo.typespecs},defi"
"XTVCHGPT","${symbolinfo.typespecs},defi"
"XTVCHID","${symbolinfo.typespecs},defi"
"XTVCHIFI","${symbolinfo.typespecs},defi"
"XTVCHIGH","${symbolinfo.typespecs},defi"
"XTVCHLG","${symbolinfo.typespecs},defi"
"XTVCHLN","${symbolinfo.typespecs},defi"
"XTVCHMND","${symbolinfo.typespecs},defi"
"XTVCHMX","${symbolinfo.typespecs},defi"
"XTVCHNY","${symbolinfo.typespecs},defi"
"XTVCHODL","${symbolinfo.typespecs},defi"
"XTVCHOME","${symbolinfo.typespecs},defi"
"XTVCHOME","${symbolinfo.typespecs},defi"
"XTVCHON","${symbolinfo.typespecs},defi"
"XTVCHOODX","${symbolinfo.typespecs},defi"
"XTVCHOT","${symbolinfo.typespecs},defi"
"XTVCHOTCROSS","${symbolinfo.typespecs},defi"
"XTVCHOTKEY","${symbolinfo.typespecs},defi"
"XTVCHPB","${symbolinfo.typespecs},defi"
"XTVCHTM","${symbolinfo.typespecs},defi"
"XTVCHTR","${symbolinfo.typespecs},defi"
"XTVCHUAHUA","${symbolinfo.typespecs},defi"
"XTVCHUMA","${symbolinfo.typespecs},defi"
"XTVCHUSL","${symbolinfo.typespecs},defi"
"XTVCHYPC","${symbolinfo.typespecs},defi"
"XTVCHYPE","${symbolinfo.typespecs},defi"
"XTVCHYPER","${symbolinfo.typespecs},defi"
"XTVCHYPR","${symbolinfo.typespecs},defi"
"XTVCHZN","${symbolinfo.typespecs},defi"
"XTVCIBTC","${symbolinfo.typespecs},defi"
"XTVCICE","${symbolinfo.typespecs},defi"
"XTVCICHI","${symbolinfo.typespecs},defi"
"XTVCICX","${symbolinfo.typespecs},defi"
"XTVCIDEX","${symbolinfo.typespecs},defi"
"XTVCIDIA","${symbolinfo.typespecs},defi"
"XTVCIDLE","${symbolinfo.typespecs},defi"
"XTVCIDNA","${symbolinfo.typespecs},defi"
"XTVCIMAGINE","${symbolinfo.typespecs},defi"
"XTVCIN","${symbolinfo.typespecs},defi"
"XTVCINDEX","${symbolinfo.typespecs},defi"
"XTVCINF","${symbolinfo.typespecs},defi"
"XTVCINF","${symbolinfo.typespecs},defi"
"XTVCINSUR","${symbolinfo.typespecs},defi"
"XTVCINTR","${symbolinfo.typespecs},defi"
"XTVCINV","${symbolinfo.typespecs},defi"
"XTVCIOEN","${symbolinfo.typespecs},defi"
"XTVCIOTX","${symbolinfo.typespecs},defi"
"XTVCIQ","${symbolinfo.typespecs},defi"
"XTVCITGR","${symbolinfo.typespecs},defi"
"XTVCITP","${symbolinfo.typespecs},defi"
"XTVCIZI","${symbolinfo.typespecs},defi"
"XTVCJEWEL","${symbolinfo.typespecs},defi"
"XTVCJITOSOL","${symbolinfo.typespecs},defi"
"XTVCJKL","${symbolinfo.typespecs},defi"
"XTVCJLP","${symbolinfo.typespecs},defi"
"XTVCJOE","${symbolinfo.typespecs},defi"
"XTVCJONES","${symbolinfo.typespecs},defi"
"XTVCJOULE","${symbolinfo.typespecs},defi"
"XTVCJRT","${symbolinfo.typespecs},defi"
"XTVCJSOL","${symbolinfo.typespecs},defi"
"XTVCJST","${symbolinfo.typespecs},defi"
"XTVCJTO","${symbolinfo.typespecs},defi"
"XTVCJULD","${symbolinfo.typespecs},defi"
"XTVCJUP","${symbolinfo.typespecs},defi"
"XTVCJUPSOL","${symbolinfo.typespecs},defi"
"XTVCJUSDT","${symbolinfo.typespecs},defi"
"XTVCKAI","${symbolinfo.typespecs},defi"
"XTVCKALIS","${symbolinfo.typespecs},defi"
"XTVCKALM","${symbolinfo.typespecs},defi"
"XTVCKAON","${symbolinfo.typespecs},defi"
"XTVCKAP","${symbolinfo.typespecs},defi"
"XTVCKBTC","${symbolinfo.typespecs},defi"
"XTVCKEEP","${symbolinfo.typespecs},defi"
"XTVCKEL","${symbolinfo.typespecs},defi"
"XTVCKERNEL","${symbolinfo.typespecs},defi"
"XTVCKILO","${symbolinfo.typespecs},defi"
"XTVCKIN","${symbolinfo.typespecs},defi"
"XTVCKING","${symbolinfo.typespecs},defi"
"XTVCKING","${symbolinfo.typespecs},defi"
"XTVCKINT","${symbolinfo.typespecs},defi"
"XTVCKLAY","${symbolinfo.typespecs},defi"
"XTVCKLIMA","${symbolinfo.typespecs},defi"
"XTVCKLS","${symbolinfo.typespecs},defi"
"XTVCKMNO","${symbolinfo.typespecs},defi"
"XTVCKNC","${symbolinfo.typespecs},defi"
"XTVCKNINE","${symbolinfo.typespecs},defi"
"XTVCKNOT","${symbolinfo.typespecs},defi"
"XTVCKNS","${symbolinfo.typespecs},defi"
"XTVCKOI","${symbolinfo.typespecs},defi"
"XTVCKOL","${symbolinfo.typespecs},defi"
"XTVCKONG","${symbolinfo.typespecs},defi"
